pred_time_step,pm25_mae,pm25_rmse,pm25_r2,pm25_smape,pm10_mae,pm10_rmse,pm10_r2,pm10_smape,so2_mae,so2_rmse,so2_r2,so2_smape,co_mae,co_rmse,co_r2,co_smape,no2_mae,no2_rmse,no2_r2,no2_smape,o3_mae,o3_rmse,o3_r2,o3_smape
1,10.808883974776549,16.065649551826336,0.8822222074153389,0.20933905346923443,20.722483949941747,31.458245267694412,0.8172862008977861,0.16773872730312833,14.49931357637223,25.349777593733823,-0.10903941046308652,0.4794635493327348,0.16338856494076112,0.22677239600020427,0.8475658564917716,0.1706174569357814,7.441981985260458,10.247868100714706,0.8574578830299384,0.17997306993508508,11.151683863950126,15.589781495819157,0.9179085214459772,0.34802820652452165
2,12.102891425329096,18.00219826572544,0.8521473894557706,0.23003529424739907,21.653458922273973,33.00946634216749,0.7988140110012518,0.1768193909761147,14.845078222656952,25.73401047910415,-0.14292100566403843,0.49151374089741384,0.17992489269025186,0.25336437703748205,0.8097538271085825,0.18392101043077755,8.424346966995913,11.620275273029574,0.8167105335531075,0.20339164026743922,12.194374692954561,16.921800602638058,0.9032766326154285,0.36337789641669727
3,13.715856161145602,20.74371447976376,0.8037276204427632,0.25855855623231666,23.676712217639473,36.10593812444052,0.7592922017978629,0.19301957898652397,14.254048883872874,24.017616216040423,0.0044533471147739645,0.49201913167109235,0.2042743410029832,0.2932590647436861,0.745171236588754,0.20416734866695635,9.647578436781378,13.369806337929244,0.7573602887960356,0.22956947875049039,14.280204498304602,19.92798176969791,0.8658612004296946,0.3950781050983391
4,15.47782484615901,23.46876494122376,0.748811702112982,0.28755453481141646,25.940644589031443,39.4272263704244,0.7129538322311313,0.2110068995304803,14.860922163903712,24.578412472333852,-0.04259930651939614,0.5159523788914607,0.2273311712180867,0.32879311595911187,0.6797038172120653,0.22387609597478686,10.934579200632433,15.240619820697567,0.6847133686382973,0.2561366230909313,15.920858781579662,22.34091222345782,0.8314503041791004,0.4302199999839175
5,17.24027701045485,26.02939481536401,0.6910307150845938,0.31526778732699196,28.11866285052019,42.581214693048636,0.6651570338133772,0.22666715608685398,15.240776712862884,24.8507617400972,-0.065871874684589,0.5309274466249893,0.24850567606968038,0.35986691928216175,0.6163134029805339,0.2425300655278725,12.116018275597517,16.8287015971761,0.6156312486125497,0.2778950756775879,17.337444708564703,24.338966188352757,0.8000698432916487,0.44821817460609775
6,18.711786339900073,28.525262669954298,0.628950186323627,0.3361325909777824,29.97228675592647,44.991996148871415,0.6261313620164475,0.2408884091714878,15.98009216233562,26.319698580375274,-0.19562866819960112,0.5487480211200698,0.26528086002434004,0.3856183452809234,0.5594397941609723,0.2558285564730668,12.987321326283848,17.941266338912655,0.5632108955475849,0.29422417243867105,18.28388877802386,25.7131752190357,0.7770183130386102,0.45800982208133273
7,20.161270998001097,30.499236990760814,0.5758203029795775,0.3601193278525193,32.09198939861971,47.49961906747622,0.5832157803899198,0.25782900232167955,16.189336984133018,26.09950863050322,-0.17570300681945583,0.5638062479871264,0.2772053036549512,0.4049144169297565,0.5142077056187542,0.26610081676739333,13.675404917513623,18.77950257086787,0.5215052142106256,0.3071591617142155,18.946618455244337,26.64668461416385,0.760721884201798,0.47426513575364976
8,21.422121631538168,32.296690110926605,0.5243503943512685,0.3787652865850503,33.86031529639749,49.81639320208813,0.5414557260849966,0.2704999262072465,16.622957618979846,26.277951551801948,-0.19183458014858612,0.5801786757038518,0.29245624684586247,0.42412574685193044,0.46697487977305796,0.27970912253626695,14.248349408654606,19.484630638152904,0.4849465424908337,0.31752842475818505,19.540103535375174,27.380622858992258,0.7475336029705699,0.4869988318828306
9,22.433885576416465,33.649812771425914,0.4836689711317512,0.3953474883463582,35.20286625671387,51.844035545775,0.5032953351733349,0.28015035913576736,17.32070293738912,27.3848885902912,-0.29436472393617774,0.5999979933752498,0.3069025300653542,0.4440007492055263,0.4158356417067133,0.29201701941975755,14.727435892581939,20.01455122296254,0.45656218942441507,0.3267007817353449,20.16114953628533,27.9993672405078,0.7361225711583477,0.500564494297641
10,23.84870027176773,35.54855916316955,0.4237555609436864,0.41583667709758915,36.819710795122035,54.27750821860085,0.4555438422986783,0.2906928179525868,17.596537344715173,27.877901459217643,-0.3413689308624208,0.6031650880539483,0.3207841533773086,0.46364402866466287,0.36300684965555574,0.3025481764786031,15.196390831112861,20.521903225401328,0.42868162374690655,0.3351059655743981,20.63346114927881,28.440727487165354,0.7278042967675862,0.515385532082878
