pred_time_step,pm25_mae,pm25_rmse,pm25_r2,pm25_smape,pm10_mae,pm10_rmse,pm10_r2,pm10_smape,so2_mae,so2_rmse,so2_r2,so2_smape,co_mae,co_rmse,co_r2,co_smape,no2_mae,no2_rmse,no2_r2,no2_smape,o3_mae,o3_rmse,o3_r2,o3_smape
1,4.874941713270161,6.216970712120077,0.9820922995903849,0.125464601204308,6.417222163366837,8.62077419325753,0.9851991035259984,0.06599585564466767,10.199003520962432,11.879127369456885,0.8385889012617358,0.5232715454519897,0.05806928116674318,0.07667488657663073,0.981248613747645,0.06819859252633186,1.9841786121243892,2.62429861157257,0.9884436756230488,0.05589364402476874,7.288705208769733,9.23893435212615,0.963701960175428,0.3205256782481631
2,4.875470862960054,6.231987050525516,0.9820057275725257,0.12574026229814406,6.873136594098213,9.195748390884006,0.9831568482336148,0.06985539924733417,10.290051542699082,12.077489693245706,0.8331555358995654,0.5212885188426961,0.06056894393305606,0.0805584972435088,0.9793005425500743,0.06986463568141779,2.0170810034271023,2.6315447525780535,0.9883809807043584,0.057095832942968335,6.959616655144801,8.770434459422805,0.9673010070130228,0.3119330716938375
3,5.855954850533836,7.714781159617384,0.972424081736009,0.1408629527225894,8.911813967971476,11.955863863850155,0.9715235973263179,0.08563071461301369,11.167444257924902,13.471623506731255,0.7924198066239841,0.5364614822517639,0.07430187090701118,0.0999518144557597,0.9681346475479238,0.08205312111369956,2.5618391613862905,3.336283002800146,0.9813263468640739,0.06953332190093994,7.773495331801844,9.661444318044653,0.9603278645372169,0.3221403125917567
4,7.60786071762372,10.552401146976637,0.9484055457033674,0.16747860928093924,12.1274751321264,16.519815019846693,0.945619640555525,0.1100996795937101,12.508838432626357,15.918005723368838,0.71017901248806,0.5601046508078371,0.09704756419598715,0.13284460678591795,0.943710346450903,0.10193059117163163,3.517400337305417,4.585088669985049,0.9647335496989001,0.09049640636924307,9.415733432017422,11.68309607179192,0.9419940773018203,0.34673745314687693
5,9.893131404514088,14.345679072171086,0.9046320411210238,0.20141942135662655,16.00087047750972,22.15697534132428,0.9021379741592992,0.1389531761150617,14.185101149566172,19.158314426316227,0.5801018684941022,0.5890027142134702,0.12707611191388646,0.17711183045201126,0.8999388575418134,0.1279300302531281,4.738502408408218,6.211203099657731,0.9352855166570331,0.1161553623052103,11.241143542651704,14.087683167241426,0.915662680544635,0.3740964790871296
6,12.4957256346081,18.613375975516902,0.8394000380807793,0.2390552478450684,20.338231760920472,28.50014910029077,0.8379973590750575,0.17035922558247574,16.161494023387917,22.859130474069676,0.4019144369902663,0.6219307361000039,0.16088825359484446,0.2278539204647503,0.8343578424274989,0.15671630539307704,6.1160691296711,8.064094736159003,0.8909101983566416,0.1439055368565674,12.972276253555306,16.494434239315538,0.8843852789344743,0.39953892245434597
7,15.200542407076385,23.018613400178545,0.7542512652063537,0.2768639180755177,24.66172946521414,34.90844040508085,0.7567725448566591,0.20079542887407006,18.04885621981533,26.482254641671695,0.19653871325329264,0.650632490337451,0.1964838481837575,0.28149781755388226,0.7470816117782404,0.18680611612630643,7.542244532874136,9.98554954137753,0.832700544518323,0.17159443391865523,14.628264360880378,18.828872603501654,0.8493438914487229,0.42375197742128595
8,17.810493649057456,27.256260214125025,0.6551609351217953,0.31226694570269586,28.736993252817605,41.07380503135275,0.6629444681782133,0.22885934110399608,19.962530115562302,29.962581629579947,-0.030014825079859975,0.6788796508543117,0.2310204682725086,0.3337121290026058,0.6443352809973157,0.21546159354286407,8.931364386054161,11.852158986199683,0.7642323146461437,0.197794187465796,16.029885664636254,20.87367854893812,0.8148463734816713,0.4443583781751602
9,20.1142362947276,30.96495954925802,0.5544721151558178,0.34305377424134625,32.300555681131044,46.573057827955104,0.5661388632361581,0.2528248087058018,21.508529280337537,32.74339739721128,-0.23239867039531736,0.7002850002517931,0.2616267389529223,0.3799475733189254,0.5385873399233808,0.24054918987064436,10.144271411102512,13.49712133629394,0.6941102247669892,0.21996567417425741,17.216768208065627,22.574660020907167,0.783445338170826,0.46139730183851424
10,22.048830566752073,34.04281989393538,0.46086277162712075,0.36836040747917737,35.249823242177015,51.137410228192905,0.4762306170737026,0.2724833955118913,22.66709778627812,34.73808034775433,-0.3901047437441252,0.715566231510199,0.2874152564789647,0.41799772036664407,0.4410414483320474,0.2614228247416105,11.12154971565713,14.829064438005801,0.6305628875295786,0.2373712466880894,18.054974766344227,23.816557054309772,0.7589708028422483,0.47281141778484814
